ID,conforto,conforto_n
35,"Ajuste de apoio lombar para o motorista, Ajuste do volante em altura, Ajuste do volante em profundidade, Ajuste elétrico dos retrovisores, Alças de segurança no teto, Apoio de braço central no banco traseiro, Apoio de braço para o motorista, Ar quente, Ar-condicionado, Ar-condicionado automático, Assist. de estacionamento semiautom., Auto Hold, Banco do motorista com ajuste de altura, Banco do motorista com ajuste elétrico, Banco do motorista com aquecimento, Banco do motorista com memórias, Banco do motorista com ventilação, Banco do passageiro com ajuste elétrico, Banco traseiro bipartido, Banco traseiro rebatível, Bancos revestidos em couro, Câmbio automático, Capô sustentado por mola a gás, Chave presencial, Cintos de segurança com ajuste de altura, Coluna de direção com ajuste elétrico, Comando interno da tampa do tanque, Controle automático de velocidade, Controle de largada, Controle de velocidade adaptativo, Controle elétrico dos vidros dianteiros, Controle elétrico dos vidros traseiros, Controle eletrônico de amortecimento, Desativação de cilindros, Destravamento remoto do porta-malas, Direção assistida, Esterçamento das rodas traseiras, Faróis com acendimento automático, Freio de estacionamento elétrico, Limitador de velocidade, Limpador de para-brisa automático, Luz de teto traseira, Luz no porta-luvas, Luz no porta-malas, Porta-luvas climatizado, Portas com fechamento assistido, Recuperação de energia cinética, Retrovisor externo com aquecimento, Retrovisor externo fotocrômico, Retrovisor interno fotocrômico, Retrovisores rebativeis eletricamente, Roda-livre, Rodas de liga leve, Saída de ar para o banco traseiro, Sistema start-stop, Suspensão pneumática, Tampa traseira motorizada, Teto panorâmico, Teto solar elétrico, Troca de marchas no volante, Zonas de ar-condicionado: 4",61
36,"Ajuste de apoio lombar para o motorista, Ajuste do volante em altura, Ajuste do volante em profundidade, Ajuste elétrico dos retrovisores, Alças de segurança no teto, Apoio de braço central no banco traseiro, Apoio de braço para o motorista, Ar quente, Ar-condicionado, Ar-condicionado automático, Assist. de estacionamento semiautom., Auto Hold, Banco do motorista com ajuste de altura, Banco do motorista com ajuste elétrico, Banco do motorista com aquecimento, Banco do motorista com memórias, Banco do motorista com ventilação, Banco do passageiro com ajuste elétrico, Banco traseiro bipartido, Banco traseiro rebatível, Bancos revestidos em couro, Câmbio automático, Capô sustentado por mola a gás, Chave presencial, Cintos de segurança com ajuste de altura, Coluna de direção com ajuste elétrico, Comando interno da tampa do tanque, Controle automático de velocidade, Controle de largada, Controle de velocidade adaptativo, Controle elétrico dos vidros dianteiros, Controle elétrico dos vidros traseiros, Controle eletrônico de amortecimento, Desativação de cilindros, Destravamento remoto do porta-malas, Direção assistida, Esterçamento das rodas traseiras, Faróis com acendimento automático, Freio de estacionamento elétrico, Limitador de velocidade, Limpador de para-brisa automático, Luz de teto traseira, Luz no porta-luvas, Luz no porta-malas, Porta-luvas climatizado, Portas com fechamento assistido, Recuperação de energia cinética, Retrovisor externo com aquecimento, Retrovisor externo fotocrômico, Retrovisor interno fotocrômico, Retrovisores rebativeis eletricamente, Roda-livre, Rodas de liga leve, Saída de ar para o banco traseiro, Sistema start-stop, Suspensão pneumática, Tampa traseira motorizada, Teto panorâmico, Teto solar elétrico, Troca de marchas no volante, Zonas de ar-condicionado: 4",61
37,"Ajuste de apoio lombar para o motorista, Ajuste do volante em altura, Ajuste do volante em profundidade, Ajuste elétrico dos retrovisores, Alças de segurança no teto, Apoio de braço central no banco traseiro, Apoio de braço para o motorista, Ar quente, Ar-condicionado, Ar-condicionado automático, Assist. de estacionamento semiautom., Auto Hold, Banco do motorista com ajuste de altura, Banco do motorista com ajuste elétrico, Banco traseiro bipartido, Banco traseiro rebatível, Bancos revestidos em couro, Câmbio automático, Capô sustentado por mola a gás, Chave presencial, Comando interno da tampa do tanque, Controle automático de velocidade, Controle de largada, Controle elétrico dos vidros dianteiros, Controle elétrico dos vidros traseiros, Destravamento remoto do porta-malas, Direção assistida, Extensão frontal do assento do motorista, Faróis com acendimento automático, Freio de estacionamento elétrico, Limpador de para-brisa automático, Luz de teto traseira, Luz no porta-luvas, Luz no porta-malas, Recuperação de energia cinética, Retrovisor externo com aquecimento, Retrovisor interno fotocrômico, Roda-livre, Rodas de liga leve, Saída de ar para o banco traseiro, Sistema start-stop, Tampa traseira motorizada, Teto panorâmico, Teto solar elétrico, Troca de marchas no volante, Zonas de ar-condicionado: 2",46
38,"Ajuste de apoio lombar para o motorista, Ajuste do volante em altura, Ajuste do volante em profundidade, Ajuste elétrico dos retrovisores, Alças de segurança no teto, Apoio de braço central no banco traseiro, Apoio de braço para o motorista, Ar quente, Ar-condicionado, Ar-condicionado automático, Auto Hold, Banco do motorista com ajuste de altura, Banco do motorista com ajuste elétrico, Banco do motorista com memórias, Banco do passageiro com ajuste elétrico, Banco traseiro bipartido, Banco traseiro rebatível, Bancos revestidos em couro, Câmbio automático, Capô sustentado por mola a gás, Chave presencial, Comando interno da tampa do tanque, Controle automático de velocidade, Controle de velocidade adaptativo, Controle elétrico dos vidros dianteiros, Controle elétrico dos vidros traseiros, Destravamento remoto do porta-malas, Direção assistida, Extensão frontal do assento do motorista, Faróis com acendimento automático, Freio de estacionamento elétrico, Limitador de velocidade, Limpador de para-brisa automático, Luz de teto traseira, Luz no porta-luvas, Luz no porta-malas, Recuperação de energia cinética, Retrovisor externo com aquecimento, Retrovisor interno fotocrômico, Retrovisores rebativeis eletricamente, Roda-livre, Rodas de liga leve, Saída de ar para o banco traseiro, Sistema start-stop, Tampa traseira motorizada, Teto panorâmico, Teto solar elétrico, Troca de marchas no volante, Zonas de ar-condicionado: 3",49
39,"Ajuste de apoio lombar para o motorista, Ajuste do volante em altura, Ajuste do volante em profundidade, Ajuste elétrico dos retrovisores, Alças de segurança no teto, Apoio de braço central no banco traseiro, Apoio de braço para o motorista, Ar quente, Ar-condicionado, Ar-condicionado automático, Assist. de estacionamento semiautom., Assistente de centralização em faixa, Auto Hold, Banco do motorista com ajuste de altura, Banco do motorista com ajuste elétrico, Banco do motorista com memórias, Banco do motorista com ventilação, Banco do passageiro com ajuste elétrico, Banco traseiro bipartido, Banco traseiro rebatível, Câmbio automático, Capô sustentado por mola a gás, Chave presencial, Cintos de segurança com ajuste de altura, Coluna de direção com ajuste elétrico, Comando interno da tampa do tanque, Controle automático de velocidade, Controle de largada, Controle de velocidade adaptativo, Controle elétrico dos vidros dianteiros, Controle elétrico dos vidros traseiros, Controle eletrônico de amortecimento, Destravamento remoto do porta-malas, Direção assistida, Esterçamento das rodas traseiras, Extensão frontal do assento do motorista, Faróis com acendimento automático, Freio de estacionamento elétrico, Limitador de velocidade, Limpador de para-brisa automático, Luz de teto traseira, Luz no porta-luvas, Luz no porta-malas, Porta-luvas climatizado, Recuperação de energia cinética, Retrovisor externo com aquecimento, Retrovisor externo fotocrômico, Retrovisor interno fotocrômico, Retrovisores rebativeis eletricamente, Rodas de liga leve, Saída de ar para o banco traseiro, Suspensão pneumática, Tampa traseira motorizada, Teto panorâmico, Troca de marchas no volante, Zonas de ar-condicionado: 3",56
40,"Ajuste de apoio lombar para o motorista, Ajuste do volante em altura, Ajuste do volante em profundidade, Ajuste elétrico dos retrovisores, Alças de segurança no teto, Apoio de braço central no banco traseiro, Apoio de braço para o motorista, Ar quente, Ar-condicionado, Ar-condicionado automático, Auto Hold, Banco do motorista com ajuste de altura, Banco do motorista com ajuste elétrico, Banco traseiro bipartido, Banco traseiro corrediço, Banco traseiro rebatível, Banco traseiro reclinável, Bancos revestidos em couro, Câmbio automático, Capô sustentado por mola a gás, Cintos de segurança com ajuste de altura, Comando interno da tampa do tanque, Controle automático de velocidade, Controle de largada, Controle elétrico dos vidros dianteiros, Controle elétrico dos vidros traseiros, Destravamento remoto do porta-malas, Direção assistida, Faróis com acendimento automático, Freio de estacionamento elétrico, Limitador de velocidade, Limpador de para-brisa automático, Luz de teto traseira, Luz no porta-luvas, Luz no porta-malas, Recuperação de energia cinética, Retrovisor externo com aquecimento, Roda-livre, Rodas de liga leve, Saída de ar para o banco traseiro, Sistema start-stop, Troca de marchas no volante, Zonas de ar-condicionado: 1",43
41,"Ajuste de apoio lombar para o motorista, Ajuste do volante em altura, Ajuste do volante em profundidade, Ajuste elétrico dos retrovisores, Alças de segurança no teto, Apoio de braço central no banco traseiro, Apoio de braço para o motorista, Ar quente, Ar-condicionado, Ar-condicionado automático, Assist. de estacionamento semiautom., Auto Hold, Banco do motorista com ajuste de altura, Banco do motorista com ajuste elétrico, Banco traseiro bipartido, Banco traseiro corrediço, Banco traseiro rebatível, Banco traseiro reclinável, Bancos revestidos em couro, Câmbio automático, Capô sustentado por mola a gás, Chave presencial, Cintos de segurança com ajuste de altura, Comando interno da tampa do tanque, Controle automático de velocidade, Controle de largada, Controle de velocidade adaptativo, Controle elétrico dos vidros dianteiros, Controle elétrico dos vidros traseiros, Destravamento remoto do porta-malas, Direção assistida, Extensão frontal do assento do motorista, Faróis com acendimento automático, Freio de estacionamento elétrico, Limitador de velocidade, Limpador de para-brisa automático, Luz de teto traseira, Luz no porta-luvas, Luz no porta-malas, Recuperação de energia cinética, Retrovisor externo com aquecimento, Retrovisor interno fotocrômico, Retrovisores rebativeis eletricamente, Roda-livre, Rodas de liga leve, Saída de ar para o banco traseiro, Sistema start-stop, Tampa traseira motorizada, Teto panorâmico, Teto solar elétrico, Troca de marchas no volante, Zonas de ar-condicionado: 2",52
42,"Ajuste de apoio lombar para o motorista, Ajuste do volante em altura, Ajuste do volante em profundidade, Ajuste elétrico dos retrovisores, Alças de segurança no teto, Apoio de braço central no banco traseiro, Apoio de braço para o motorista, Ar quente, Ar-condicionado, Ar-condicionado automático, Auto Hold, Banco do motorista com ajuste de altura, Banco do motorista com ajuste elétrico, Banco traseiro bipartido, Banco traseiro corrediço, Banco traseiro rebatível, Banco traseiro reclinável, Bancos revestidos em couro, Câmbio automático, Capô sustentado por mola a gás, Chave presencial, Cintos de segurança com ajuste de altura, Comando interno da tampa do tanque, Controle automático de velocidade, Controle de largada, Controle elétrico dos vidros dianteiros, Controle elétrico dos vidros traseiros, Destravamento remoto do porta-malas, Direção assistida, Faróis com acendimento automático, Freio de estacionamento elétrico, Limitador de velocidade, Limpador de para-brisa automático, Luz de teto traseira, Luz no porta-luvas, Luz no porta-malas, Recuperação de energia cinética, Retrovisor externo com aquecimento, Retrovisor interno fotocrômico, Retrovisores rebativeis eletricamente, Roda-livre, Rodas de liga leve, Saída de ar para o banco traseiro, Sistema start-stop, Tampa traseira motorizada, Teto panorâmico, Teto solar elétrico, Troca de marchas no volante, Zonas de ar-condicionado: 2",49
43,"Ajuste de apoio lombar para o motorista, Ajuste do volante em altura, Ajuste do volante em profundidade, Ajuste elétrico dos retrovisores, Alças de segurança no teto, Apoio de braço central no banco traseiro, Apoio de braço para o motorista, Ar quente, Ar-condicionado, Ar-condicionado automático, Assist. de estacionamento semiautom., Auto Hold, Banco do motorista com ajuste de altura, Banco do motorista com ajuste elétrico, Banco traseiro bipartido, Banco traseiro corrediço, Banco traseiro rebatível, Banco traseiro reclinável, Bancos revestidos em couro, Câmbio automático, Capô sustentado por mola a gás, Chave presencial, Cintos de segurança com ajuste de altura, Comando interno da tampa do tanque, Controle automático de velocidade, Controle de largada, Controle de velocidade adaptativo, Controle elétrico dos vidros dianteiros, Controle elétrico dos vidros traseiros, Destravamento remoto do porta-malas, Direção assistida, Extensão frontal do assento do motorista, Faróis com acendimento automático, Freio de estacionamento elétrico, Limitador de velocidade, Limpador de para-brisa automático, Luz de teto traseira, Luz no porta-luvas, Luz no porta-malas, Recuperação de energia cinética, Retrovisor externo com aquecimento, Retrovisor interno fotocrômico, Retrovisores rebativeis eletricamente, Roda-livre, Rodas de liga leve, Saída de ar para o banco traseiro, Sistema start-stop, Tampa traseira motorizada, Teto solar elétrico, Troca de marchas no volante, Zonas de ar-condicionado: 2",51
44,"Ajuste de apoio lombar para o motorista, Ajuste do volante em altura, Ajuste do volante em profundidade, Ajuste elétrico dos retrovisores, Alças de segurança no teto, Apoio de braço central no banco traseiro, Apoio de braço para o motorista, Ar quente, Ar-condicionado, Ar-condicionado automático, Auto Hold, Banco do motorista com ajuste de altura, Banco do motorista com ajuste elétrico, Banco traseiro bipartido, Banco traseiro corrediço, Banco traseiro rebatível, Banco traseiro reclinável, Bancos revestidos em couro, Câmbio automático, Capô sustentado por mola a gás, Chave presencial, Cintos de segurança com ajuste de altura, Comando interno da tampa do tanque, Controle automático de velocidade, Controle de largada, Controle elétrico dos vidros dianteiros, Controle elétrico dos vidros traseiros, Destravamento remoto do porta-malas, Direção assistida, Faróis com acendimento automático, Freio de estacionamento elétrico, Limitador de velocidade, Limpador de para-brisa automático, Luz de teto traseira, Luz no porta-luvas, Luz no porta-malas, Recuperação de energia cinética, Retrovisor externo com aquecimento, Retrovisor interno fotocrômico, Retrovisores rebativeis eletricamente, Roda-livre, Rodas de liga leve, Saída de ar para o banco traseiro, Sistema start-stop, Tampa traseira motorizada, Teto solar elétrico, Troca de marchas no volante, Zonas de ar-condicionado: 2",48
45,"Ajuste de apoio lombar para o motorista, Ajuste do volante em altura, Ajuste do volante em profundidade, Ajuste elétrico dos retrovisores, Alças de segurança no teto, Apoio de braço central no banco traseiro, Apoio de braço para o motorista, Ar quente, Ar-condicionado, Ar-condicionado automático, Auto Hold, Banco do motorista com ajuste de altura, Banco do motorista com ajuste elétrico, Banco do motorista com memórias, Banco do passageiro com ajuste elétrico, Banco traseiro bipartido, Banco traseiro corrediço, Banco traseiro rebatível, Banco traseiro reclinável, Bancos revestidos em couro, Câmbio automático, Capô sustentado por mola a gás, Chave presencial, Cintos de segurança com ajuste de altura, Comando interno da tampa do tanque, Controle automático de velocidade, Controle de velocidade adaptativo, Controle elétrico dos vidros dianteiros, Controle elétrico dos vidros traseiros, Destravamento remoto do porta-malas, Direção assistida, Extensão frontal do assento do motorista, Faróis com acendimento automático, Freio de estacionamento elétrico, Limitador de velocidade, Limpador de para-brisa automático, Luz de teto traseira, Luz no porta-luvas, Luz no porta-malas, Recuperação de energia cinética, Retrovisor externo com aquecimento, Retrovisor externo fotocrômico, Retrovisor interno fotocrômico, Retrovisores rebativeis eletricamente, Roda-livre, Rodas de liga leve, Saída de ar para o banco traseiro, Sistema start-stop, Tampa traseira motorizada, Teto panorâmico, Teto solar elétrico, Troca de marchas no volante, Zonas de ar-condicionado: 3",53
46,"Ajuste de apoio lombar para o motorista, Ajuste do volante em altura, Ajuste do volante em profundidade, Ajuste elétrico dos retrovisores, Alças de segurança no teto, Apoio de braço central no banco traseiro, Apoio de braço para o motorista, Ar quente, Ar-condicionado, Ar-condicionado automático, Auto Hold, Banco do motorista com ajuste de altura, Banco do motorista com ajuste elétrico, Banco do passageiro com ajuste elétrico, Banco traseiro bipartido, Banco traseiro corrediço, Banco traseiro rebatível, Banco traseiro reclinável, Bancos revestidos em couro, Câmbio automático, Capô sustentado por mola a gás, Chave presencial, Cintos de segurança com ajuste de altura, Comando interno da tampa do tanque, Controle automático de velocidade, Controle de velocidade adaptativo, Controle elétrico dos vidros dianteiros, Controle elétrico dos vidros traseiros, Destravamento remoto do porta-malas, Direção assistida, Extensão frontal do assento do motorista, Faróis com acendimento automático, Freio de estacionamento elétrico, Limitador de velocidade, Limpador de para-brisa automático, Luz de teto traseira, Luz no porta-luvas, Luz no porta-malas, Recuperação de energia cinética, Retrovisor externo com aquecimento, Retrovisor externo fotocrômico, Retrovisor interno fotocrômico, Retrovisores rebativeis eletricamente, Roda-livre, Rodas de liga leve, Saída de ar para o banco traseiro, Sistema start-stop, Tampa traseira motorizada, Teto panorâmico, Teto solar elétrico, Troca de marchas no volante, Zonas de ar-condicionado: 3",52
