ID,Marca:,Modelo Base:,Versão:,Ano:,Combustível:,Propulsão:,Configuração:,Garantia:,Lugares:,Portas:,Porte:,Procedência:,Valor FIPE:,Alimentação:,Aspiração:,cilindros,tipo_cilindro,Comando de Válvulas:,Disposição:,Instalação:,Razão de Compressão:,Válvulas por Cilindro:,Variação do Comando:,Acoplamento:,Câmbio:,Quantidade de Marchas:,Tração:,Pneus Dianteiros:,Pneus Traseiros:,Freios Dianteiros:,Freios Traseiros:,Suspensão Dianteira:,Elemento Elástico da Suspensão:,Suspensão Traseira:,Assistência de Direção:,Coeficiente de Arrasto:,url,id,Plataforma:,Código do Câmbio:,Acionamento do Comando:,Observações:,Código do Motor:,Geração:,Série:,Tuchos:,Pneu Estepe:,Capacidade de Bateria:,Potência de recarga:,Viscosidade do óleo:,valor_data
10,Ariel,Atom,Atom 3.5R 2.0,2016,Gasolina,Combustão,Conversível,1 ano,2,NA,Compacto,Importado,NA,Injeção multiponto,Turbocompressor,4,em linha,"Duplo no cabeçote, corrente",Transversal,Central,Não informada,4,Admissão e escape,Embreagem monodisco a seco,Manual,6,Traseira,195/50 R15,195/50 R15,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Não assistida,NA,https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,Motor Honda,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Ariel,Atom,Atom 2.0,2016,Gasolina,Combustão,Conversível,1 ano,2,NA,Compacto,Importado,NA,Injeção multiponto,Natural,4,em linha,"Duplo no cabeçote, corrente",Transversal,Central,Não informada,4,Admissão e escape,Embreagem monodisco a seco,Manual,6,Traseira,195/50 R15,195/50 R15,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Não assistida,NA,https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,Motor Honda,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Asia,Topic,Topic Luxo 2.7,1995,Diesel,Combustão,Van,1 ano,16,3,Médio,Importado,R$ 9.956 (09/2024),Injeção indireta,Natural,4,em linha,Único no cabeçote,Longitudinal,Dianteiro,NA,2,NA,Embreagem monodisco a seco,Manual,5,Traseira,185/70 R14,185/70 R14,Disco sólido,Tambor,"Independente, braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,Hidráulica,NA,https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09/2024
13,Asia,Rocsta,Rocsta GT 2.2 4x4,1994,Diesel,Combustão,Jipe,1 ano,4,2,Compacto,Importado,R$ 23.236 (09/2024),Injeção indireta,Natural,4,em linha,Único no cabeçote,Longitudinal,Dianteiro,22:1,2,NA,Embreagem monodisco a seco,Manual,5,Integral temporária,235/75 R15,235/75 R15,Disco ventilado,Tambor,"Independente, braços sobrepostos",NA,Eixo rígido,Hidráulica,NA,https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09/2024
14,Asia,Towner,Towner SDX 0.8,1994,Gasolina,Combustão,Van,1 ano,7,4,Compacto,Importado,R$ 4.956 (09/2024),Carburador,Natural,3,em linha,Único no cabeçote,Transversal,Dianteiro,"9,5:1",2,NA,Embreagem monodisco a seco,Manual,5,Traseira,165/70 R12,165/70 R12,Disco sólido,Tambor,"Independente, McPherson",Feixe de molas semielípticas,Eixo rígido,NA,"0,41",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09/2024
15,Aston Martin,Dbx,Dbx 4.0 V8 Turbo,2021,Gasolina,Combustão,SUV,2 anos,5,4,Grande,Importado,NA,Injeção direta,Turbocompressor,8,em V,Duplo no cabeçote,Longitudinal,Dianteiro,"8,6:1",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,9,Integral sob demanda,285/40 R22,325/35 R22,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Elétrica,NA,https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,M177DE40AL,NA,NA,NA,NA,NA,NA,NA,NA
16,Aston Martin,Db11,Db11 4.0 V8 Turbo,2018,Gasolina,Combustão,Cupê,2 anos,4,2,Grande,Importado,NA,Injeção direta,Turbocompressor,8,em V,Duplo no cabeçote,Longitudinal,Dianteiro,"10,5:1",4,Admissão e escape,Conversor de torque,Automático,8,Traseira,255/40 R20,295/35 R20,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Elétrica,"0,35",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,M178DE40AL,NA,NA,NA,NA,NA,NA,NA,NA
17,Aston Martin,Db11,Db11 5.2 V12 Turbo,2017,Gasolina,Combustão,Cupê,2 anos,4,2,Grande,Importado,NA,Injeção multiponto,Turbocompressor,12,em V,Duplo no cabeçote,Longitudinal,Dianteiro,"9,3:1",4,Admissão e escape,Conversor de torque,Automático,8,Traseira,255/40 R20,295/35 R20,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Elétrica,"0,35",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Aston Martin,Vantage,Vantage S 6.0 V12,2015,Gasolina,Combustão,Cupê,2 anos,4,2,Grande,Importado,R$ 1.009.468 (09/2024),Injeção multiponto,Natural,12,em V,Duplo no cabeçote,Longitudinal,Dianteiro,"10,9:1",4,NA,Embreagem monodisco a seco,Automatizado,7,Traseira,255/35 R19,295/30 R19,Disco de carbono-cerâmica,Disco de carbono-cerâmica,"Independente, braços sobrepostos",NA,"Independente, braços sobrepostos",Hidráulica,"0,37",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09/2024
19,Aston Martin,Db9,Db9 6.0 V12,2014,Gasolina,Combustão,Cupê,2 anos,4,2,Grande,Importado,R$ 961.903 (09/2024),Injeção multiponto,Natural,12,em V,Duplo no cabeçote,Longitudinal,Dianteiro,10:1,4,NA,Conversor de torque,Automático,6,Traseira,245/35 R20,295/30 R20,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"0,35",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09/2024
20,Aston Martin,Rapide,Rapide S 6.0 V12,2014,Gasolina,Combustão,Sedã,2 anos,4,4,Grande,Importado,NA,Injeção multiponto,Natural,12,em V,Duplo no cabeçote,Longitudinal,Dianteiro,11:1,4,NA,Conversor de torque,Automático,6,Traseira,245/35 R20,295/30 R20,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"0,35",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Aston Martin,Vanquish,Vanquish 6.0 V12,2014,Gasolina,Combustão,Cupê,1 ano,4,2,Grande,Importado,R$ 1.657.500 (09/2024),Injeção multiponto,Natural,12,em V,Duplo no cabeçote,Longitudinal,Dianteiro,11:1,4,NA,Conversor de torque,Automático,8,Traseira,255/35 R20,305/30 R20,Disco de carbono-cerâmica,Disco de carbono-cerâmica,"Independente, braços sobrepostos",NA,"Independente, braços sobrepostos",Hidráulica,"0,37",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09/2024
22,Aston Martin,Vantage,Vantage 6.0 V12,2012,Gasolina,Combustão,Cupê,2 anos,4,2,Grande,Importado,R$ 483.559 (09/2024),Injeção multiponto,Natural,12,em V,Duplo no cabeçote,Longitudinal,Dianteiro,"10,9:1",4,NA,Embreagem monodisco a seco,Manual,6,Traseira,255/35 R19,295/30 R19,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"0,37",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09/2024
23,Aston Martin,Vantage,Vantage 4.7 V8,2012,Gasolina,Combustão,Cupê,2 anos,4,2,Grande,Importado,R$ 564.525 (09/2024),Injeção multiponto,Natural,8,em V,Duplo no cabeçote,Longitudinal,Dianteiro,"11,3:1",4,NA,Embreagem monodisco a seco,Manual,6,Traseira,235/40 R19,275/35 R19,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"0,37",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09/2024
24,Aston Martin,Virage,Virage 6.0 V12,2012,Gasolina,Combustão,Cupê,2 anos,4,2,Grande,Importado,R$ 664.858 (09/2024),Injeção multiponto,Natural,12,em V,Duplo no cabeçote,Longitudinal,Dianteiro,"10,97:1",4,NA,Conversor de torque,Automático,6,Traseira,245/35 R20,295/30 R20,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"0,37",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09/2024
25,Aston Martin,Dbs,Dbs 6.0 V12,2011,Gasolina,Combustão,Cupê,1 ano,2,2,Grande,Importado,NA,Injeção multiponto,Natural,12,em V,Duplo no cabeçote,Longitudinal,Dianteiro,"10,9:1",4,NA,Conversor de torque,Automático,6,Traseira,245/35 R20,295/30 R20,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"0,37",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Aston Martin,Vanquish,Vanquish 6.0 V12,2003,Gasolina,Combustão,Cupê,1 ano,4,2,Grande,Importado,NA,Injeção multiponto,Natural,12,em V,Duplo no cabeçote,Longitudinal,Dianteiro,"10,5:1",4,NA,Embreagem monodisco a seco,Automatizado,6,Traseira,255/40 R19,285/40 R19,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"0,33",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Aston Martin,Db7,Db7 3.2,2000,Gasolina,Combustão,Cupê,1 ano,4,2,Grande,Importado,NA,Injeção multiponto,Compressor,6,em linha,Duplo no cabeçote,Longitudinal,Dianteiro,"8,3:1",4,NA,Embreagem monodisco a seco,Manual,5,Traseira,245/40 R18,245/40 R18,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"0,31",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Audi,A4,A4 Prestige 2.0 TFSi Quattro,2024,Gasolina,Híbrido leve,Sedã,2 anos,5,4,Médio,Importado,R$ 262.900 (09/2024),Injeção direta e indireta,Turbocompressor,4,em linha,Duplo no cabeçote,Longitudinal,Dianteiro,"12,2:1",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,7,Integral sob demanda,245/40 R18,245/40 R18,Disco ventilado,Disco sólido,"Indep., multibraço",Mola helicoidal,"Indep., multibraço",Elétrica,"0,25",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB Evo,S-Tronic,Corrente,NA,EA888,5,B9,Hidráulicos,125/70 R19,NA,NA,NA,09/2024
29,Audi,A5,A5 Sportback Advanced 2.0 TFSi Quattro,2024,Gasolina,Híbrido leve,Hatchback,2 anos,5,4,Médio,Importado,R$ 352.153 (09/2024),Injeção direta e indireta,Turbocompressor,4,em linha,Duplo no cabeçote,Longitudinal,Dianteiro,"12,2:1",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,7,Integral sob demanda,255/35 R19,255/35 R19,Disco ventilado,Disco sólido,"Indep., multibraço",Mola helicoidal,"Indep., multibraço",Elétrica,"0,26",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB Evo,S-Tronic,Corrente,NA,EA888,2,F5,Hidráulicos,125/70 R19,NA,NA,NA,09/2024
30,Audi,Q3 Sportback,Q3 Sportback Anniversary Edition 2.0 TFSi Quattro,2024,Gasolina,Combustão,SUV,3 anos,5,4,Compacto,Nacional,R$ 341.243 (09/2024),Injeção direta,Turbocompressor,4,em linha,Duplo no cabeçote,Transversal,Dianteiro,"9,6:1",4,Admissão e escape,Conversor de torque,Automático,8,Integral sob demanda,255/40 R20,255/40 R20,Disco ventilado,Disco ventilado,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",Elétrica,"0,35",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MQB,NA,Corrente,NA,EA888,NA,F3,Hidráulicos,145/85 R18,NA,NA,NA,09/2024
31,Audi,Q8 E-tron,Q8 E-tron Performance Black,2024,Eletricidade,Elétrico,SUV,4 anos,5,4,Grande,Importado,R$ 575.286 (09/2024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Automático,1,Integral sob demanda,265/45 R21,265/45 R21,Disco ventilado,Disco ventilado,"Indep., multibraço",Mola pneumática,"Indep., multibraço",Elétrica,"0,29",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB Evo,NA,NA,NA,NA,NA,Audi GE,NA,NA,114 kWh,NA,NA,09/2024
32,Audi,Q8 E-tron,Q8 E-tron Launch Edition,2024,Eletricidade,Elétrico,SUV,4 anos,5,4,Grande,Importado,R$ 588.773 (09/2024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Automático,1,Integral sob demanda,265/40 R22,265/40 R22,Disco ventilado,Disco ventilado,"Indep., multibraço",Mola pneumática,"Indep., multibraço",Elétrica,"0,29",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB Evo,NA,NA,NA,NA,NA,Audi GE,NA,NA,114 kWh,NA,NA,09/2024
33,Audi,Q8 E-tron Sportback,Q8 E-tron Sportback Performance Black,2024,Eletricidade,Elétrico,SUV,4 anos,5,4,Grande,Importado,R$ 578.775 (09/2024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Automático,1,Integral sob demanda,265/45 R21,265/45 R21,Disco ventilado,Disco ventilado,"Indep., multibraço",Mola pneumática,"Indep., multibraço",Elétrica,"0,26",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB Evo,NA,NA,NA,NA,NA,NA,NA,NA,114 kWh,NA,NA,09/2024
34,Audi,Q8 E-tron Sportback,Q8 E-tron Sportback Launch Edition,2024,Eletricidade,Elétrico,SUV,4 anos,5,4,Grande,Importado,R$ 588.773 (09/2024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Automático,1,Integral sob demanda,265/40 R22,265/40 R22,Disco ventilado,Disco ventilado,"Indep., multibraço",Mola pneumática,"Indep., multibraço",Elétrica,"0,26",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB Evo,NA,NA,NA,NA,NA,NA,NA,NA,114 kWh,NA,NA,09/2024
35,Audi,Rs 6 Avant,Rs 6 Avant Performance 4.0 V8 TFSi,2024,Gasolina,Híbrido leve,Perua,2 anos,4,4,Grande,Importado,NA,Injeção direta,Turbocompressor,8,em V,Duplo no cabeçote,Longitudinal,Dianteiro,"9,7:1",4,Admissão e escape,Conversor de torque,Automático,8,Integral permanente,275/35 R21,275/35 R21,Disco ventilado,Disco ventilado,"Indep., multibraço",Mola pneumática,"Indep., multibraço",Elétrica,"0,35",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB evo,ZF 8HP,Corrente,NA,EA825,4,C8,Hidráulicos,Kit de reparo,NA,NA,NA,NA
36,Audi,Rs 6 Avant,Rs 6 Avant Legacy 4.0 V8 TFSi,2024,Gasolina,Híbrido leve,Perua,3 anos,4,4,Grande,Importado,NA,Injeção direta,Turbocompressor,8,em V,Duplo no cabeçote,Longitudinal,Dianteiro,"9,7:1",4,Admissão e escape,Conversor de torque,Automático,8,Integral permanente,275/30 R22,275/30 R22,Disco ventilado,Disco ventilado,"Indep., multibraço",Mola pneumática,"Indep., multibraço",Elétrica,"0,35",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB evo,ZF 8HP,Corrente,NA,EA825,4,C8,Hidráulicos,Kit de reparo,NA,NA,NA,NA
37,Audi,A3 Sedan,A3 Sedan S Line 2.0 TFSi,2023,Gasolina,Híbrido leve,Sedã,2 anos,5,4,Médio,Importado,R$ 244.009 (09/2024),Injeção direta e indireta,Turbocompressor,4,em linha,Duplo no cabeçote,Transversal,Dianteiro,"11,7:1",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,7,Dianteira,225/40 R18,225/40 R18,Disco ventilado,Disco sólido,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",Elétrica,"0,27",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MQB Evo,S-Tronic,Corrente,NA,EA888,2,8Y,Hidráulicos,125/70 R18,NA,NA,NA,09/2024
38,Audi,A5,A5 Sportback Carbon Edition 2.0 TFSi,2023,Gasolina,Híbrido leve,Sedã,2 anos,5,4,Médio,Importado,R$ 341.250 (09/2024),Injeção direta e indireta,Turbocompressor,4,em linha,Duplo no cabeçote,Longitudinal,Dianteiro,"12,2:1",4,Admissão e escape,Embreagem dupla banhada a óleo,Automatizado,7,Dianteira,255/35 R19,255/35 R19,Disco ventilado,Disco sólido,"Indep., multibraço",Mola helicoidal,"Indep., multibraço",Elétrica,"0,26",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MLB Evo,S-Tronic,Corrente,NA,EA888,2,F5,Hidráulicos,125/70 R19,NA,NA,NA,09/2024
39,Audi,E-tron Gt,E-tron Gt quattro,2023,Eletricidade,Elétrico,Sedã,2 anos,5,4,Grande,Importado,R$ 905.452 (09/2024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Automático,2,Integral sob demanda,225/55 R19,275/45 R19,Disco ventilado,Disco ventilado,"Indep., braços sobrepostos",Mola pneumática,"Indep., multibraço",Elétrica,"0,24",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,Porsche J1,NA,NA,NA,NA,NA,NA,NA,NA,"93,4 kWh",NA,NA,09/2024
40,Audi,Q3,Q3 Prestige 2.0 TFSi Quattro,2023,Gasolina,Combustão,SUV,4 anos,5,4,Compacto,Nacional,R$ 254.718 (09/2024),Injeção direta e indireta,Turbocompressor,4,em linha,Duplo no cabeçote,Transversal,Dianteiro,"9,6:1",4,Admissão e escape,Conversor de torque,Automático,8,Integral sob demanda,235/55 R18,235/55 R18,Disco ventilado,Disco ventilado,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",Elétrica,"0,36",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MQB,NA,Corrente,NA,EA888,2,F3,Hidráulicos,145/85 R18,NA,NA,NA,09/2024
41,Audi,Q3,Q3 Performance Black 2.0 TFSi Quattro,2023,Gasolina,Combustão,SUV,4 anos,5,4,Compacto,Nacional,R$ 299.932 (09/2024),Injeção direta e indireta,Turbocompressor,4,em linha,Duplo no cabeçote,Transversal,Dianteiro,"9,6:1",4,Admissão e escape,Conversor de torque,Automático,8,Integral sob demanda,235/50 R19,235/50 R19,Disco ventilado,Disco ventilado,"Indep., McPherson",Mola helicoidal,"Indep., multibraço",Elétrica,"0,36",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,MQB,NA,Corrente,NA,EA888,2,F3,Hidráulicos,145/85 R18,NA,NA,NA,09/2024
