,Marca:,Modelo Base:,Versão:,Ano:,Combustível:,Propulsão:,Configuração:,Garantia:,Lugares:,Portas:,Porte:,Procedência:,Valor FIPE:,Alimentação:,Aspiração:,Cilindrada:,Cilindros:,Comando de Válvulas:,Curso do Pistão:,Diâmetro do Cilindro:,Disposição:,Instalação:,Peso-Potência:,Peso-Torque:,Potência Específica:,Potência Máxima:,Razão de Compressão:,Torque Específico:,Torque Máximo:,Válvulas por Cilindro:,Variação do Comando:,Aceleração 0-100 km/h:,Velocidade Máxima:,Consumo Rodoviário (Gasolina):,Consumo Urbano (Gasolina):,Autonomia Rodoviária (Gasolina):,Autonomia Urbana (Gasolina):,Acoplamento:,Câmbio:,Quantidade de Marchas:,Tração:,Altura do Flanco:,Pneus Dianteiros:,Pneus Traseiros:,Freios Dianteiros:,Freios Traseiros:,Suspensão Dianteira:,Elemento Elástico da Suspensão:,Suspensão Traseira:,Assistência de Direção:,Diâmetro Mínimo de Giro:,Altura:,Bitola Dianteira:,Bitola Traseira:,Comprimento:,Distância entre Eixos:,Largura:,Peso:,Porta-Malas:,Tanque de Combustível:,Área Frontal:,Área Frontal Corrigida:,Coeficiente de Arrasto:,url,id,Plataforma:,Rotação de Potência Máxima:,Rotação de Torque Máximo:,Código do Câmbio:,Diâmetro de Giro:,Vão Livre do Solo:,Carga Útil:,Acionamento do Comando:,Observações:,Consumo Rodoviário (Diesel):,Consumo Urbano (Diesel):,Autonomia Rodoviária (Diesel):,Autonomia Urbana (Diesel):,Código do Motor:,Rotação Máxima:,Ângulo Central:,Ângulo de Entrada:,Ângulo de Saída:,Reboque com Freio:,Reboque sem Freio:,Geração:,Série:,Cilindrada unitária:,Tuchos:,Pneu Estepe:,Altura mínima do solo:,Autonomia:,Capacidade de Bateria:,Consumo Elétrico:,Potência:,Potência Combinada:,Torque:,Torque Combinado:,Autonomia Elétrica:,Velocidade Máxima (Modo Elétrico):,Consumo Rodoviário:,Consumo Urbano:,Autonomia Rodoviária:,Autonomia Urbana:,Porta-Malas (5 Lugares):,Porta-Malas (7 Lugares):,Consumo Rodoviário (Álcool):,Consumo Urbano (Álcool):,Autonomia Rodoviária (Álcool):,Autonomia Urbana (Álcool):,Frenagem 0-100 km/h:,Rampa Máxima:,Travessia de Água:,Potência de recarga:,Porta-Malas (6 Lugares):,Inclinação Lateral Máxima:,Viscosidade do óleo:
10,Ariel,Atom,Atom 3.5R 2.0,2016,Gasolina,Combustão,Conversível,1 ano,2,,Compacto,Importado,,Injeção multiponto,Turbocompressor,1998 cm³,4 em linha,"Duplo no cabeçote, corrente",86 mm,86 mm,Transversal,Central,"1,7 kg/cv","18,2 kg/kgfm","175,2 cv/litro",350 cv a 8400 rpm,Não informada,"16,8 kgfm/litro","33,6 kgfm a 6100 rpm",4,Admissão e escape,"2,6 s",250 km/h,12 km/l,9 km/l,480 km,360 km,Embreagem monodisco a seco,Manual,6,Traseira,98 mm,195/50 R15,195/50 R15,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Não assistida,Não informado,1195 mm,1600 mm,1600 mm,3410 mm,2345 mm,1828 mm,612 kg,5 litros,40 litros,,,,https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,,,,,,,,,Motor Honda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ariel,Atom,Atom 2.0,2016,Gasolina,Combustão,Conversível,1 ano,2,,Compacto,Importado,,Injeção multiponto,Natural,1998 cm³,4 em linha,"Duplo no cabeçote, corrente",86 mm,86 mm,Transversal,Central,"2,1 kg/cv","21,2 kg/kgfm","122,6 cv/litro",245 cv a 8600 rpm,Não informada,"12,3 kgfm/litro","24,5 kgfm a 7200 rpm",4,Admissão e escape,"3,2 s",233 km/h,12 km/l,9 km/l,480 km,360 km,Embreagem monodisco a seco,Manual,6,Traseira,98 mm,195/50 R15,195/50 R15,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Não assistida,Não informado,1195 mm,1600 mm,1600 mm,3410 mm,2345 mm,1828 mm,520 kg,5 litros,40 litros,,,,https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,,,,,,,,,Motor Honda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Asia,Topic,Topic Luxo 2.7,1995,Diesel,Combustão,Van,1 ano,16,3,Médio,Importado,R$ 9.956 (09/2024),Injeção indireta,Natural,2701 cm³,4 em linha,Único no cabeçote,,,Longitudinal,Dianteiro,"26,7 kg/cv","125,0 kg/kgfm","27,8 cv/litro",75 cv a 3600 rpm,,"5,9 kgfm/litro",16 kgfm a 2400 rpm,2,,25 s,125 km/h,,,,,Embreagem monodisco a seco,Manual,5,Traseira,130 mm,185/70 R14,185/70 R14,Disco sólido,Tambor,"Independente, braços sobrepostos",Feixe de molas semielípticas,Eixo rígido,Hidráulica,Não informado,2040 mm,,,5260 mm,2800 mm,1690 mm,2000 kg,100 litros,62 litros,,,,https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,,,,,,,,,,10 km/l,8 km/l,620 km,496 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Asia,Rocsta,Rocsta GT 2.2 4x4,1994,Diesel,Combustão,Jipe,1 ano,4,2,Compacto,Importado,R$ 23.236 (09/2024),Injeção indireta,Natural,2184 cm³,4 em linha,Único no cabeçote,94 mm,86 mm,Longitudinal,Dianteiro,"19,4 kg/cv","94,1 kg/kgfm","29,9 cv/litro","65,3 cv a 4000 rpm",22:1,"6,2 kgfm/litro","13,5 kgfm a 2500 rpm",2,,27 s,133 km/h,,,,,Embreagem monodisco a seco,Manual,5,Integral temporária,176 mm,235/75 R15,235/75 R15,Disco ventilado,Tambor,"Independente, braços sobrepostos",,Eixo rígido,Hidráulica,Não informado,1800 mm,1330 mm,1330 mm,3720 mm,2260 mm,1630 mm,1270 kg,110 litros,65 litros,,,,https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,,,,,,260 mm,,,,"10,8 km/l","8,6 km/l",702 km,559 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Asia,Towner,Towner SDX 0.8,1994,Gasolina,Combustão,Van,1 ano,7,4,Compacto,Importado,R$ 4.956 (09/2024),Carburador,Natural,796 cm³,3 em linha,Único no cabeçote,69 mm,70 mm,Transversal,Dianteiro,"32,0 kg/cv","213,3 kg/kgfm","50,3 cv/litro",40 cv a 5600 rpm,"9,5:1","7,5 kgfm/litro",6 kgfm a 3600 rpm,2,,"46,5 s",116 km/h,"13,8 km/l","11,4 km/l",483 km,399 km,Embreagem monodisco a seco,Manual,5,Traseira,116 mm,165/70 R12,165/70 R12,Disco sólido,Tambor,"Independente, McPherson",Feixe de molas semielípticas,Eixo rígido,,,1870 mm,1205 mm,1220 mm,3360 mm,1810 mm,1400 mm,1280 kg,272 litros,35 litros,"2,23 m²","0,914 m²","0,41",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,,,,,,165 mm,450 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Aston Martin,Dbx,Dbx 4.0 V8 Turbo,2021,Gasolina,Combustão,SUV,2 anos,5,4,Grande,Importado,,Injeção direta,Turbocompressor,3982 cm³,8 em V,Duplo no cabeçote,92 mm,83 mm,Longitudinal,Dianteiro,"4,1 kg/cv","31,4 kg/kgfm","138,1 cv/litro",550 cv a 6500 rpm,"8,6:1","17,9 kgfm/litro","71,4 kgfm a 2200 rpm",4,Admissão e escape,"4,5 s",291 km/h,8 km/l,5 km/l,680 km,425 km,Embreagem dupla banhada a óleo,Automatizado,9,Integral sob demanda,114 mm,285/40 R22,325/35 R22,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Elétrica,"12,4 m",1680 mm,,,5039 mm,3060 mm,1998 mm,2245 kg,632 litros,85 litros,,,,https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,,,,,,190 mm,,,,,,,,M177DE40AL,7000 rpm,"18,8 graus","25,7 graus","27,1 graus",2700 kg,750 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Aston Martin,Db11,Db11 4.0 V8 Turbo,2018,Gasolina,Combustão,Cupê,2 anos,4,2,Grande,Importado,,Injeção direta,Turbocompressor,3982 cm³,8 em V,Duplo no cabeçote,92 mm,83 mm,Longitudinal,Dianteiro,"3,5 kg/cv","25,6 kg/kgfm","128,1 cv/litro",510 cv a 6000 rpm,"10,5:1","17,3 kgfm/litro","68,8 kgfm a 2000 rpm",4,Admissão e escape,4 s,305 km/h,"8,1 km/l","5,4 km/l",632 km,421 km,Conversor de torque,Automático,8,Traseira,103 mm,255/40 R20,295/35 R20,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Elétrica,Não informado,1290 mm,,,4750 mm,2805 mm,1940 mm,1760 kg,270 litros,78 litros,"2,13 m²","0,746 m²","0,35",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,,,,,,,,,,,,,,M178DE40AL,7000 rpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Aston Martin,Db11,Db11 5.2 V12 Turbo,2017,Gasolina,Combustão,Cupê,2 anos,4,2,Grande,Importado,,Injeção multiponto,Turbocompressor,5204 cm³,12 em V,Duplo no cabeçote,"79,5 mm",89 mm,Longitudinal,Dianteiro,"2,9 kg/cv","24,8 kg/kgfm","116,8 cv/litro",608 cv a 6500 rpm,"9,3:1","13,7 kgfm/litro","71,4 kgfm a 1500 rpm",4,Admissão e escape,"3,9 s",322 km/h,"5,8 km/l","2,6 km/l",452 km,203 km,Conversor de torque,Automático,8,Traseira,103 mm,255/40 R20,295/35 R20,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, multibraço",Elétrica,Não informado,1279 mm,,,4739 mm,2805 mm,1940 mm,1770 kg,270 litros,78 litros,"2,11 m²","0,739 m²","0,35",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Aston Martin,Vantage,Vantage S 6.0 V12,2015,Gasolina,Combustão,Cupê,2 anos,4,2,Grande,Importado,R$ 1.009.468 (09/2024),Injeção multiponto,Natural,5935 cm³,12 em V,Duplo no cabeçote,"79,5 mm",89 mm,Longitudinal,Dianteiro,"2,9 kg/cv","26,3 kg/kgfm","96,5 cv/litro",573 cv a 6750 rpm,"10,9:1","10,6 kgfm/litro","63,2 kgfm a 5750 rpm",4,,"3,9 s",328 km/h,"6,4 km/l","3,4 km/l",512 km,272 km,Embreagem monodisco a seco,Automatizado,7,Traseira,89 mm,255/35 R19,295/30 R19,Disco de carbono-cerâmica,Disco de carbono-cerâmica,"Independente, braços sobrepostos",,"Independente, braços sobrepostos",Hidráulica,"11,8 m",1241 mm,1570 mm,1575 mm,4385 mm,2600 mm,1865 mm,1665 kg,239 litros,80 litros,"1,97 m²","0,729 m²","0,37",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Aston Martin,Db9,Db9 6.0 V12,2014,Gasolina,Combustão,Cupê,2 anos,4,2,Grande,Importado,R$ 961.903 (09/2024),Injeção multiponto,Natural,5935 cm³,12 em V,Duplo no cabeçote,"79,5 mm",89 mm,Longitudinal,Dianteiro,"3,5 kg/cv","28,2 kg/kgfm","87,1 cv/litro",517 cv a 6500 rpm,10:1,"10,6 kgfm/litro","63,2 kgfm a 5000 rpm",4,,"4,6 s",295 km/h,"5,7 km/l","2,5 km/l",445 km,195 km,Conversor de torque,Automático,6,Traseira,89 mm,245/35 R20,295/30 R20,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,Não informado,1282 mm,,,4720 mm,2740 mm,1900 mm,1785 kg,155 litros,78 litros,"2,07 m²","0,725 m²","0,35",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Aston Martin,Rapide,Rapide S 6.0 V12,2014,Gasolina,Combustão,Sedã,2 anos,4,4,Grande,Importado,,Injeção multiponto,Natural,5935 cm³,12 em V,Duplo no cabeçote,"79,5 mm",89 mm,Longitudinal,Dianteiro,"3,6 kg/cv","31,5 kg/kgfm","94,0 cv/litro",558 cv a 6750 rpm,11:1,"10,6 kgfm/litro","63,2 kgfm a 5500 rpm",4,,"4,9 s",306 km/h,"5,6 km/l","2,5 km/l",504 km,225 km,Conversor de torque,Automático,6,Traseira,89 mm,245/35 R20,295/30 R20,Disco ventilado,Disco ventilado,"Independente, braços sobrepostos",Mola helicoidal,"Independente, braços sobrepostos",Hidráulica,"12,5 m",1350 mm,,,5020 mm,2989 mm,1929 mm,1990 kg,155 litros,90 litros,"2,21 m²","0,774 m²","0,35",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Aston Martin,Vanquish,Vanquish 6.0 V12,2014,Gasolina,Combustão,Cupê,1 ano,4,2,Grande,Importado,R$ 1.657.500 (09/2024),Injeção multiponto,Natural,5935 cm³,12 em V,Duplo no cabeçote,"79,5 mm",89 mm,Longitudinal,Dianteiro,"3,0 kg/cv","27,1 kg/kgfm","97,1 cv/litro",576 cv a 6650 rpm,11:1,"10,8 kgfm/litro","64,2 kgfm a 5500 rpm",4,,"3,8 s",323 km/h,7 km/l,"3,5 km/l",546 km,273 km,Conversor de torque,Automático,8,Traseira,92 mm,255/35 R20,305/30 R20,Disco de carbono-cerâmica,Disco de carbono-cerâmica,"Independente, braços sobrepostos",,"Independente, braços sobrepostos",Hidráulica,"12,5 m",1294 mm,1590 mm,1590 mm,4720 mm,2740 mm,1912 mm,1739 kg,368 litros,78 litros,"2,1 m²","0,777 m²","0,37",https://guiacarros.com.br/ficha-carro/chevrolet-spin-advantage-18-at-2017,999,,,,,,,331 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
